"Qty";"Value";"Device";"Package";"Parts";"Description";"KEY";
"2";"";"CLOSED";"CP_CL";"JP1, JP2";"Closed Cutpad";"";
"1";"";"OPEN";"CP_OP";"JP3";"open Cutpad";"";
"1";"";"PINHD-1X2/90";"1X02/90";"J4";"";"";
"2";"";"PINHD-1X3/90";"1X03/90";"J3, J8";"";"";
"2";"";"PINHD-1X4/90";"1X04/90";"J5, J7";"";"";
"2";"";"PINHD-1X590°";"1X05/90";"J2, J6";"";"";
"1";"";"PINHD-2X10WH";"2X10WH";"J1";"";"";
"1";"1000u/16V";"C30X16L";"C30X16L";"C4";"";"";
"1";"100R";"R-0805";"0805";"R1";"";"";
"4";"100n";"C-0805";"0805";"C1, C2, C3, C5";"";"";
"3";"100n";"CAP010805";"0805";"C6, C8, C9";"";"";
"11";"10k";"R-0805";"0805";"R2, R3, R5, R7, R8, R9, R10, R12, R13, R14, R15";"";"";
"2";"27k";"R-0805";"0805";"R4, R20";"";"";
"1";"330R";"RES040805";"0805";"R11";"";"";
"1";"33R";"R-0805";"0805";"R19";"";"";
"1";"470R";"R-0805";"0805";"R16";"";"";
"1";"47k";"RN08";"RN-9";"RN1";"";"";
"1";"4k7";"R-0805";"0805";"R18";"";"";
"1";"4u7";"CAP010805";"0805";"C7";"";"";
"1";"74HC123D";"74123";"SO-16";"IC2";"";"";
"3";"BC847B";"BC846";"SOT23";"Q1, Q3, Q5";"";"";
"2";"LL4148";"LL4148";"SOD80C";"D1, D2";"";"";
"1";"MX";"MX";"CHERRYMX";"SW30";"";"*";
"1";"MX";"MX";"CHERRYMX";"SW12";"";"+";
"1";"MX";"MX";"CHERRYMX";"SW13";"";"-";
"1";"MX";"MX";"CHERRYMX";"SW61";"";"/";
"1";"MX";"MX";"CHERRYMX";"SW11";"";"0";
"1";"MX";"MX";"CHERRYMX";"SW2";"";"1";
"1";"MX";"MX";"CHERRYMX";"SW3";"";"2";
"1";"MX";"MX";"CHERRYMX";"SW4";"";"3";
"1";"MX";"MX";"CHERRYMX";"SW5";"";"4";
"1";"MX";"MX";"CHERRYMX";"SW6";"";"5";
"1";"MX";"MX";"CHERRYMX";"SW7";"";"6";
"1";"MX";"MX";"CHERRYMX";"SW8";"";"7";
"1";"MX";"MX";"CHERRYMX";"SW9";"";"8";
"1";"MX";"MX";"CHERRYMX";"SW10";"";"9";
"1";"MX";"MX";"CHERRYMX";"SW47";"";"=";
"1";"MX";"MX";"CHERRYMX";"SW29";"";"@";
"1";"MX";"MX";"CHERRYMX";"SW36";"";"A";
"1";"MX";"MX";"CHERRYMX";"SW56";"";"B";
"1";"MX";"MX";"CHERRYMX";"SW54";"";"C";
"1";"MX";"MX";"CHERRYMX";"SW50";"";"C=";
"1";"MX";"MX";"CHERRYMX";"SW64";"";"CRSR.lr";
"1";"MX";"MX";"CHERRYMX";"SW63";"";"CRSR.ud";
