"Comment";"Designator";"Footprint";"JLCPCB Part #";"KEY";
"";"JP1, JP2";"CP_CL ";"";"";
"";"JP3";"CP_OP ";"";"";
"";"J4";"1X02/90 ";"";"";
"";"J3, J8";"1X03/90 ";"";"";
"";"J5, J7";"1X04/90 ";"";"";
"";"J2, J6";"1X05/90 ";"";"";
"";"J1";"2X10WH ";"";"";
"1000u/16V";"C4";"C30X16L ";"";"";
"100R";"R1";"0805 ";"";"";
"100n";"C1, C2, C3, C5";"0805 ";"";"";
"100n";"C6, C8, C9";"0805 ";"";"";
"10k";"R2, R3, R5, R7, R8, R9, R10, R12, R13, R14, R15";"0805 ";"";"";
"27k";"R4, R20";"0805 ";"";"";
"330R";"R11";"0805 ";"";"";
"33R";"R19";"0805 ";"";"";
"470R";"R16";"0805 ";"";"";
"47k";"RN1";"RN-9 ";"";"";
"4k7";"R18";"0805 ";"";"";
"4u7";"C7";"0805 ";"";"";
"74HC123D";"IC2";"SO-16 ";"";"";
"BC847B";"Q1, Q3, Q5";"SOT23 ";"";"";
"LL4148";"D1, D2";"SOD80C ";"";"";
"MX";"SW30";"CHERRYMX ";"";"*";
"MX";"SW12";"CHERRYMX ";"";"+";
"MX";"SW13";"CHERRYMX ";"";"-";
"MX";"SW61";"CHERRYMX ";"";"/";
"MX";"SW11";"CHERRYMX ";"";"0";
"MX";"SW2";"CHERRYMX ";"";"1";
"MX";"SW3";"CHERRYMX ";"";"2";
"MX";"SW4";"CHERRYMX ";"";"3";
"MX";"SW5";"CHERRYMX ";"";"4";
"MX";"SW6";"CHERRYMX ";"";"5";
"MX";"SW7";"CHERRYMX ";"";"6";
"MX";"SW8";"CHERRYMX ";"";"7";
"MX";"SW9";"CHERRYMX ";"";"8";
"MX";"SW10";"CHERRYMX ";"";"9";
"MX";"SW47";"CHERRYMX ";"";"=";
"MX";"SW29";"CHERRYMX ";"";"@";
"MX";"SW36";"CHERRYMX ";"";"A";
"MX";"SW56";"CHERRYMX ";"";"B";
"MX";"SW54";"CHERRYMX ";"";"C";
"MX";"SW50";"CHERRYMX ";"";"C=";
"MX";"SW64";"CHERRYMX ";"";"CRSR.lr";
"MX";"SW63";"CHERRYMX ";"";"CRSR.ud";
"MX";"SW18, SW18A";"CHERRYMX ";"";"CTRL";
"MX";"SW38";"CHERRYMX ";"";"D";
"MX";"SW16";"CHERRYMX ";"";"DEL";
"MX";"SW21";"CHERRYMX ";"";"E";
"MX";"SW39";"CHERRYMX ";"";"F";
"MX";"SW17, SW17A";"CHERRYMX ";"";"F1";
"MX";"SW33, SW33A";"CHERRYMX ";"";"F3";
"MX";"SW49, SW49A";"CHERRYMX ";"";"F5";
"MX";"SW65, SW65A";"CHERRYMX ";"";"F7";
"MX";"SW40";"CHERRYMX ";"";"G";
"MX";"SW41";"CHERRYMX ";"";"H";
"MX";"SW15";"CHERRYMX ";"";"HOME";
"MX";"SW26";"CHERRYMX ";"";"I";
"MX";"SW42";"CHERRYMX ";"";"J";
"MX";"SW43";"CHERRYMX ";"";"K";
"MX";"SW44";"CHERRYMX ";"";"L";
"MX";"SW1";"CHERRYMX ";"";"LEFT ARR";
"MX";"SW58";"CHERRYMX ";"";"M";
"MX";"SW57";"CHERRYMX ";"";"N";
"MX";"SW68";"CHERRYMX ";"";"Next";
"MX";"SW27";"CHERRYMX ";"";"O";
"MX";"SW28";"CHERRYMX ";"";"P";
"MX";"SW67";"CHERRYMX ";"";"Prev";
"MX";"SW19";"CHERRYMX ";"";"Q";
"MX";"SW22";"CHERRYMX ";"";"R";
"MX";"SW32, SW32A";"CHERRYMX ";"";"RESTORE";
"MX";"SW48";"CHERRYMX ";"";"RETURN";
"MX";"SW34";"CHERRYMX ";"";"RUN";
"MX";"SW37";"CHERRYMX ";"";"S";
"MX";"SW51, SW51A";"CHERRYMX ";"";"SH.LEFT";
"MX";"SW62, SW62A";"CHERRYMX ";"";"SH.RIGHT";
"MX";"SW66";"CHERRYMX ";"";"SPACE";
"MX";"SW23";"CHERRYMX ";"";"T";
"MX";"SW25";"CHERRYMX ";"";"U";
"MX";"SW31";"CHERRYMX ";"";"UP ARR";
"MX";"SW55";"CHERRYMX ";"";"V";
"MX";"SW20";"CHERRYMX ";"";"W";
"MX";"SW53";"CHERRYMX ";"";"X";
"MX";"SW24";"CHERRYMX ";"";"Y";
"MX";"SW52";"CHERRYMX ";"";"Z";
"MX";"SW45";"CHERRYMX ";"";"[";
"MX";"SW46";"CHERRYMX ";"";"]";
"MX";"SW59";"CHERRYMX ";"";"comma";
"MX";"SW60";"CHERRYMX ";"";"period";
"MX";"SW14";"CHERRYMX ";"";"£";
"MX+LED";"SW35";"CHERRYMXLD ";"";"SH.LOCK";
"OPEN_SOURCE_HW";"U$90";"OPENHW ";"";"";
"PCF8575-MODULE";"M1";"PCF8575MODUL ";"";"";
"PRO_MICRO";"M2";"PRO_MICRO ";"";"";
"RMP-14P/HT";"SPK1";"RMP-14P/HT ";"";"";
"SN74HC74D";"IC1";"SO-14 ";"";"";
"TL7705ACD";"IC3";"SO8 ";"";"";
