"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CLOSED";"CP_CL";"JP1, JP2";"Closed Cutpad";"";
"1";"";"OPEN";"CP_OP";"JP3";"open Cutpad";"";
"1";"";"PINHD-1X2/90";"1X02/90";"J4";"";"";
"2";"";"PINHD-1X3/90";"1X03/90";"J3, J8";"";"";
"2";"";"PINHD-1X4/90";"1X04/90";"J5, J7";"";"";
"2";"";"PINHD-1X590°";"1X05/90";"J2, J6";"";"";
"1";"";"PINHD-2X10WH";"2X10WH";"J1";"";"";
"1";"1000u/16V";"C30X16L";"C30X16L";"C4";"";"";
"1";"100R";"R-0805";"0805";"R1";"";"";
"1";"100k";"R-0805";"0805";"R4";"";"";
"3";"100n";"C-0805";"0805";"C1, C2, C3";"";"";
"3";"100n";"CAP010805";"0805";"C6, C7, C8";"";"";
"11";"10k";"R-0805";"0805";"R2, R3, R5, R7, R8, R9, R10, R12, R13, R14, R15";"";"";
"1";"22n";"C-0805";"0805";"C5";"";"";
"1";"27k";"R-0805";"0805";"R20";"";"";
"1";"330R";"RES040805";"0805";"R11";"";"";
"1";"33R";"R-0805";"0805";"R19";"";"";
"1";"470R";"R-0805";"0805";"R16";"";"";
"1";"47k";"RN08";"RN-9";"RN1";"";"";
"1";"4k7";"R-0805";"0805";"R18";"";"";
"1";"74HC123D";"74123";"SO-16";"IC2";"";"";
"3";"BC847B";"BC846";"SOT23";"Q1, Q3, Q5";"";"";
"2";"LL4148";"LL4148";"SOD80C";"D1, D2";"";"";
"1";"MX+LEDHSWP";"MX+LEDHSWP";"CHERRYMX_HSWP_LD";"SW35";"";"";
"75";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW17A, SW18, SW18A, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW32A, SW33, SW33A, SW34, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW49A, SW50, SW51, SW51A, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW62A, SW63, SW64, SW65, SW65A, SW66, SW67, SW68";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$90";"";"";
"1";"PCF8575-MODULE";"PCF8575-MODUL";"PCF8575MODUL";"M1";"";"";
"1";"PRO_MICRO";"PRO_MICRO";"PRO_MICRO";"M2";"";"";
"1";"RMP-14P/HT";"RMP-14P/HT";"RMP-14P/HT";"SPK1";"";"";
"1";"SN74HC74D";"7474HC";"SO-14";"IC1";"Dual D-Flip-Flop SO14";"";
"1";"TL7705ACD";"TL7705ACD";"SO8";"IC3";"";"";
"1";"dnp";"R-0805";"0805";"R6";"";"";
