"Comment";"Designator";"Footprint";"JLCPCB Part #";"KEY";
"";"JP1, JP2";"CP_CL ";"";"";
"";"JP3";"CP_OP ";"";"";
"";"J4";"1X02/90 ";"";"";
"";"J3, J8";"1X03/90 ";"";"";
"";"J5, J7";"1X04/90 ";"";"";
"";"J2, J6";"1X05/90 ";"";"";
"";"J1";"2X10WH ";"";"";
"1000u/16V";"C4";"C30X16L ";"";"";
"100R";"R1";"0805 ";"";"";
"100n";"C1, C2, C3, C5";"0805 ";"";"";
"100n";"C6, C8, C9";"0805 ";"";"";
"10k";"R2, R3, R5, R7, R8, R9, R10, R12, R13, R14, R15";"0805 ";"";"";
"27k";"R4, R20";"0805 ";"";"";
"330R";"R11";"0805 ";"";"";
"33R";"R19";"0805 ";"";"";
"470R";"R16";"0805 ";"";"";
"47k";"RN1";"RN-9 ";"";"";
"4k7";"R18";"0805 ";"";"";
"4u7";"C7";"0805 ";"";"";
"74HC123D";"IC2";"SO-16 ";"";"";
"BC847B";"Q1, Q3, Q5";"SOT23 ";"";"";
"LL4148";"D1, D2";"SOD80C ";"";"";
"MX+LEDHSWP";"SW35";"CHERRYMX_HSWP_LD ";"";"SH.LOCK";
"MXHOTSWAP";"SW30";"CHERRYMX_HOTSWAP ";"";"*";
"MXHOTSWAP";"SW12";"CHERRYMX_HOTSWAP ";"";"+";
"MXHOTSWAP";"SW13";"CHERRYMX_HOTSWAP ";"";"-";
"MXHOTSWAP";"SW61";"CHERRYMX_HOTSWAP ";"";"/";
"MXHOTSWAP";"SW11";"CHERRYMX_HOTSWAP ";"";"0";
"MXHOTSWAP";"SW2";"CHERRYMX_HOTSWAP ";"";"1";
"MXHOTSWAP";"SW3";"CHERRYMX_HOTSWAP ";"";"2";
"MXHOTSWAP";"SW4";"CHERRYMX_HOTSWAP ";"";"3";
"MXHOTSWAP";"SW5";"CHERRYMX_HOTSWAP ";"";"4";
"MXHOTSWAP";"SW6";"CHERRYMX_HOTSWAP ";"";"5";
"MXHOTSWAP";"SW7";"CHERRYMX_HOTSWAP ";"";"6";
"MXHOTSWAP";"SW8";"CHERRYMX_HOTSWAP ";"";"7";
"MXHOTSWAP";"SW9";"CHERRYMX_HOTSWAP ";"";"8";
"MXHOTSWAP";"SW10";"CHERRYMX_HOTSWAP ";"";"9";
"MXHOTSWAP";"SW47";"CHERRYMX_HOTSWAP ";"";"=";
"MXHOTSWAP";"SW29";"CHERRYMX_HOTSWAP ";"";"@";
"MXHOTSWAP";"SW36";"CHERRYMX_HOTSWAP ";"";"A";
"MXHOTSWAP";"SW56";"CHERRYMX_HOTSWAP ";"";"B";
"MXHOTSWAP";"SW54";"CHERRYMX_HOTSWAP ";"";"C";
"MXHOTSWAP";"SW50";"CHERRYMX_HOTSWAP ";"";"C=";
"MXHOTSWAP";"SW64";"CHERRYMX_HOTSWAP ";"";"CRSR.lr";
"MXHOTSWAP";"SW63";"CHERRYMX_HOTSWAP ";"";"CRSR.ud";
"MXHOTSWAP";"SW18, SW18A";"CHERRYMX_HOTSWAP ";"";"CTRL";
"MXHOTSWAP";"SW38";"CHERRYMX_HOTSWAP ";"";"D";
"MXHOTSWAP";"SW16";"CHERRYMX_HOTSWAP ";"";"DEL";
"MXHOTSWAP";"SW21";"CHERRYMX_HOTSWAP ";"";"E";
"MXHOTSWAP";"SW39";"CHERRYMX_HOTSWAP ";"";"F";
"MXHOTSWAP";"SW17, SW17A";"CHERRYMX_HOTSWAP ";"";"F1";
