"Designator";"Mid X";"Mid Y";"Layer";"Rotation";"Footprint"
"C1";"22.066mm";"12.700mm";"bot";"90";"0805"
"C2";"20.320mm";"8.731mm";"bot";"90";"0805"
"C3";"36.300mm";"10.400mm";"bot";"270";"0805"
"C4";"339.408mm";"11.589mm";"bot";"0";"C30X16L"
"C5";"15.081mm";"6.033mm";"bot";"0";"0805"
"C6";"40.600mm";"11.000mm";"bot";"0";"0805"
"C7";"38.000mm";"16.600mm";"bot";"270";"0805"
"C8";"44.600mm";"11.000mm";"bot";"0";"0805"
"C9";"11.589mm";"16.192mm";"bot";"90";"0805"
"D1";"24.300mm";"22.400mm";"bot";"90";"SOD80C"
"D2";"368.265mm";"45.171mm";"bot";"0";"SOD80C"
"IC1";"31.400mm";"11.800mm";"bot";"90";"SO-14"
"IC2";"17.145mm";"14.923mm";"bot";"90";"SO-16"
"IC3";"42.700mm";"15.000mm";"bot";"90";"SO8"
"J1";"380.930mm";"66.600mm";"bot";"270";"2X10WH"
"J2";"251.500mm";"9.800mm";"bot";"270";"1X05/90"
"J3";"2.417mm";"78.625mm";"bot";"90";"1X03/90"
"J4";"382.200mm";"9.000mm";"bot";"270";"1X02/90"
"J5";"301.784mm";"13.652mm";"bot";"270";"1X04/90"
"J6";"325.900mm";"90.600mm";"top";"180";"1X05/90"
"J7";"382.200mm";"22.400mm";"bot";"270";"1X04/90"
"J8";"382.200mm";"87.800mm";"bot";"270";"1X03/90"
"JP1";"55.973mm";"9.231mm";"bot";"180";"CP_CL"
"JP2";"207.495mm";"12.400mm";"bot";"180";"CP_CL"
"JP3";"339.735mm";"82.261mm";"top";"270";"CP_OP"
"M1";"318.800mm";"37.500mm";"bot";"180";"PCF8575MODUL"
"M2";"325.900mm";"72.100mm";"bot";"0";"PRO_MICRO"
"Q1";"36.790mm";"41.820mm";"bot";"0";"SOT23"
"Q3";"27.336mm";"27.476mm";"bot";"180";"SOT23"
"Q5";"365.260mm";"36.735mm";"bot";"90";"SOT23"
"R1";"26.370mm";"42.820mm";"bot";"0";"0805"
"R2";"36.750mm";"39.020mm";"bot";"0";"0805"
"R3";"33.430mm";"56.820mm";"bot";"0";"0805"
"R4";"17.145mm";"9.366mm";"bot";"180";"0805"
"R5";"26.035mm";"7.620mm";"bot";"270";"0805"
"R7";"24.300mm";"26.800mm";"bot";"90";"0805"
"R8";"74.699mm";"11.697mm";"bot";"270";"0805"
"R9";"226.981mm";"13.261mm";"bot";"270";"0805"
"R10";"314.700mm";"68.300mm";"bot";"180";"0805"
"R11";"337.947mm";"86.479mm";"bot";"270";"0805"
"R12";"337.400mm";"76.000mm";"bot";"180";"0805"
"R13";"337.400mm";"73.300mm";"bot";"180";"0805"
"R14";"337.300mm";"63.200mm";"bot";"180";"0805"
"R15";"337.400mm";"70.800mm";"bot";"180";"0805"
"R16";"305.118mm";"14.923mm";"bot";"0";"0805"
"R18";"362.530mm";"36.813mm";"bot";"90";"0805"
"R19";"368.000mm";"39.300mm";"bot";"0";"0805"
"R20";"368.000mm";"41.800mm";"bot";"0";"0805"
"RN1";"330.900mm";"33.300mm";"bot";"270";"RN-9"
"SPK1";"377.000mm";"41.000mm";"bot";"0";"RMP-14P/HT"
"SW1";"17.600mm";"86.050mm";"top";"0";"CHERRYMX_HOTSWAP"
